Year,PunxsutawneyPhil,FebruaryAverageTemperature,FebruaryAverageTemperature_PA,MarchAverageTemperature,MarchAverageTemperature_PA,CorrectlyPredicted_PA
1963,Full Shadow,34.12,18.4,43.72,37.5,N
1964,Full Shadow,31.77,23.6,38.82,36.9,Y
1965,Full Shadow,32.52,26.2,35.44,32.1,N
1966,Full Shadow,31.24,26.5,43,37.5,Y
1967,Full Shadow,32.88,22.6,43.63,34.4,N
1968,Full Shadow,32.92,22.3,43.56,38.4,N
1969,Full Shadow,32.81,26.7,36.03,32.7,N
1970,No Shadow,35.35,25.3,38.5,31.6,N
1971,Full Shadow,33.48,27.5,39.65,32.5,N
1972,Full Shadow,33.55,23.2,44.04,33.1,N
1973,Full Shadow,33.58,25.5,44.29,42.9,N
1974,Full Shadow,34.74,26.2,44.38,36.9,N
1975,No Shadow,32.76,28.8,38.7,33.7,Y
1976,Full Shadow,39.56,33.5,42.31,40.8,N
1977,Full Shadow,36.03,26.1,43.18,41.2,N
1978,Full Shadow,27.99,17.2,41.31,31.9,Y
1979,Full Shadow,28.13,16.4,42.06,39.4,Y
1980,Full Shadow,32.85,23,39.36,33.3,N
1981,Full Shadow,36.59,30.7,42.85,34.1,N
1982,Full Shadow,32.59,26.9,42.03,34.9,N
1983,No Shadow,36.86,29.8,42.4,38.7,Y
1984,Full Shadow,37.38,33.8,40.08,29.5,Y
1985,Full Shadow,30.87,27.1,43.48,38.3,Y
1986,No Shadow,35.85,26.7,46.18,38,Y
1987,Full Shadow,37.38,26.8,42.57,39,N
1988,No Shadow,33.69,26.8,42.4,37.2,Y
1989,Full Shadow,29.17,27.1,42.67,36.7,Y
1990,No Shadow,36.7,33.9,44.74,40.2,Y
1991,Full Shadow,39.81,32.4,43.32,39.5,N
1992,Full Shadow,39.7,30.9,44.71,34.5,N
1993,Full Shadow,31.14,23.5,41.79,32.8,Y
1994,Full Shadow,31.87,24.1,44.51,33.8,Y
1995,No Shadow,37.36,23.9,43.34,39.7,Y
1996,Full Shadow,35.69,27,39.02,31.8,Y
1997,No Shadow,36.05,33,44.67,37.6,Y
1998,Full Shadow,38.71,35.8,41.34,39.7,N
1999,No Shadow,39.49,31.7,42.8,34.2,Y
2000,Full Shadow,39.78,31.6,46.04,42.6,N
2001,Full Shadow,33.98,31.5,41.49,33.3,N
2002,Full Shadow,36.39,33.9,39.54,38.2,N
2003,Full Shadow,32.79,23.8,43.3,37.2,N
2004,Full Shadow,33.57,27,47.41,39.5,N
2005,Full Shadow,37.94,30.1,42.31,32.3,N
2006,Full Shadow,34.83,29.8,42.62,37,N
2007,No Shadow,32.41,20.1,47.66,37.4,Y
2008,Full Shadow,34.7,27.7,41.86,35.6,N
2009,Full Shadow,36.77,29.6,42.87,38.2,N
2010,Full Shadow,31.8,25.8,43.57,42,Y
2011,No Shadow,33.04,28.6,43.07,36.3,Y
2012,Full Shadow,37.51,34.3,50.41,47.7,N
2013,No Shadow,34.77,27.4,40.91,33.9,Y
2014,Full Shadow,32.13,22.8,40.51,30.3,Y
2015,Full Shadow,32.99,16.1,45.39,31.6,Y
2016,No Shadow,39.47,30.8,47.5,43.4,Y
